Date,Time,Location,Max_Temperature,Min_Temperature,Humidity,Precipitation,Wind_Speed,Weather Condition
2023-01-01,06:00,Warangal,42.9,31.6,30.4,0.0,1.5,Cloudy
2023-01-01,06:00,Nizamabad,34.2,24.8,40.1,0.0,5.7,Sunny
2023-01-01,06:00,Karimnagar,44.3,34.3,75.4,0.0,23.7,Cloudy
2023-01-01,06:00,Khammam,38.6,30.0,69.8,0.0,11.4,Sunny
2023-01-01,06:00,Mahbubnagar,35.0,28.3,33.3,0.0,24.2,Sunny
2023-01-01,06:00,Hyderabad,31.9,20.4,37.0,0.0,21.7,Cloudy
2023-01-01,12:00,Warangal,31.3,25.2,86.5,0.0,11.5,Cloudy
2023-01-01,12:00,Nizamabad,32.3,19.5,74.0,0.0,11.4,Sunny
2023-01-01,12:00,Karimnagar,27.6,12.7,49.1,0.0,17.8,Sunny
2023-01-01,12:00,Khammam,33.2,25.4,34.8,0.0,7.2,Sunny
2023-01-01,12:00,Mahbubnagar,30.7,25.0,45.4,0.0,16.4,Cloudy
2023-01-01,12:00,Hyderabad,39.9,34.8,81.3,0.0,23.5,Sunny
2023-01-01,18:00,Warangal,25.9,17.8,59.2,0.0,22.0,Sunny
2023-01-01,18:00,Nizamabad,41.4,34.8,70.7,0.0,8.4,Sunny
2023-01-01,18:00,Karimnagar,37.2,24.8,40.2,0.0,14.5,Cloudy
2023-01-01,18:00,Khammam,29.5,17.1,49.4,11.7,9.7,Stormy
2023-01-01,18:00,Mahbubnagar,29.0,19.8,82.4,0.0,4.5,Sunny
2023-01-01,18:00,Hyderabad,39.2,26.5,59.6,0.0,26.8,Sunny
2023-01-02,06:00,Warangal,43.4,28.6,87.3,0.0,29.4,Cloudy
2023-01-02,06:00,Nizamabad,30.3,20.6,33.0,0.0,17.4,Sunny
2023-01-02,06:00,Karimnagar,37.8,22.9,71.6,0.0,11.7,Cloudy
2023-01-02,06:00,Khammam,37.5,27.7,59.8,0.0,17.9,Sunny
2023-01-02,06:00,Mahbubnagar,40.0,26.8,78.7,0.0,6.3,Sunny
2023-01-02,06:00,Hyderabad,35.8,21.7,56.1,0.0,4.6,Sunny
2023-01-02,12:00,Warangal,33.3,26.3,60.0,0.0,20.3,Sunny
2023-01-02,12:00,Nizamabad,38.9,26.5,88.5,0.0,18.4,Cloudy
2023-01-02,12:00,Karimnagar,29.5,16.4,36.1,0.0,25.6,Sunny
2023-01-02,12:00,Khammam,43.1,34.2,32.1,0.0,0.0,Cloudy
2023-01-02,12:00,Mahbubnagar,40.9,29.0,43.5,0.0,18.1,Sunny
2023-01-02,12:00,Hyderabad,32.5,22.5,88.3,0.0,6.7,Sunny
2023-01-02,18:00,Warangal,37.8,25.6,77.9,0.0,23.2,Cloudy
2023-01-02,18:00,Nizamabad,26.5,12.0,59.5,0.0,18.4,Cloudy
2023-01-02,18:00,Karimnagar,44.4,29.8,30.5,0.0,23.4,Cloudy
2023-01-02,18:00,Khammam,28.6,18.3,54.0,0.0,17.6,Cloudy
2023-01-02,18:00,Mahbubnagar,37.8,30.8,65.1,0.0,21.7,Sunny
2023-01-02,18:00,Hyderabad,44.1,30.9,35.8,0.0,4.7,Sunny
2023-01-03,06:00,Warangal,44.3,34.2,58.5,0.0,27.1,Sunny
2023-01-03,06:00,Nizamabad,26.0,19.5,36.7,0.0,8.9,Cloudy
2023-01-03,06:00,Karimnagar,35.6,29.4,52.8,0.0,21.4,Sunny
2023-01-03,06:00,Khammam,27.7,19.3,39.7,4.4,16.6,Rainy
2023-01-03,06:00,Mahbubnagar,30.2,23.8,70.8,0.0,9.0,Cloudy
2023-01-03,06:00,Hyderabad,42.1,32.8,34.5,0.0,1.0,Cloudy
2023-01-03,12:00,Warangal,30.5,25.4,80.5,0.0,8.4,Sunny
2023-01-03,12:00,Nizamabad,40.1,34.6,79.8,0.0,2.1,Sunny
2023-01-03,12:00,Karimnagar,39.3,30.4,52.0,0.0,8.6,Sunny
2023-01-03,12:00,Khammam,35.1,29.7,73.6,0.0,6.1,Cloudy
2023-01-03,12:00,Mahbubnagar,44.9,31.3,36.6,0.0,13.5,Sunny
2023-01-03,12:00,Hyderabad,39.1,27.1,33.1,0.0,20.1,Sunny
2023-01-03,18:00,Warangal,25.9,11.0,37.0,0.0,1.6,Sunny
2023-01-03,18:00,Nizamabad,32.8,20.8,80.6,0.0,21.3,Sunny
2023-01-03,18:00,Karimnagar,29.9,20.7,30.3,11.9,21.7,Stormy
2023-01-03,18:00,Khammam,29.2,15.1,88.9,0.0,27.6,Cloudy
2023-01-03,18:00,Mahbubnagar,39.9,33.5,58.3,8.5,24.4,Stormy
2023-01-03,18:00,Hyderabad,26.1,13.3,39.1,0.0,12.0,Sunny
2023-01-04,06:00,Warangal,27.6,17.0,82.4,0.0,12.3,Sunny
2023-01-04,06:00,Nizamabad,33.6,25.2,41.0,0.0,13.1,Cloudy
2023-01-04,06:00,Karimnagar,30.8,25.2,62.1,0.0,28.0,Sunny
2023-01-04,06:00,Khammam,26.9,12.4,47.4,21.0,8.9,Stormy
2023-01-04,06:00,Mahbubnagar,36.9,22.1,54.8,0.0,9.2,Cloudy
2023-01-04,06:00,Hyderabad,43.0,35.1,42.3,0.0,29.4,Cloudy
2023-01-04,12:00,Warangal,41.6,34.6,85.3,3.8,14.8,Rainy
2023-01-04,12:00,Nizamabad,40.0,34.3,58.8,0.0,25.0,Sunny
2023-01-04,12:00,Karimnagar,35.5,22.8,83.7,0.0,29.1,Sunny
2023-01-04,12:00,Khammam,25.8,19.7,74.3,5.3,22.2,Stormy
2023-01-04,12:00,Mahbubnagar,35.6,23.8,54.6,0.0,26.9,Cloudy
2023-01-04,12:00,Hyderabad,37.2,27.9,90.0,0.0,0.0,Sunny
2023-01-04,18:00,Warangal,43.8,32.7,52.7,0.0,27.1,Cloudy
2023-01-04,18:00,Nizamabad,32.8,25.9,49.0,13.7,12.0,Stormy
2023-01-04,18:00,Karimnagar,42.8,37.0,39.2,0.0,11.2,Sunny
2023-01-04,18:00,Khammam,29.8,17.9,83.0,3.4,28.9,Rainy
2023-01-04,18:00,Mahbubnagar,43.3,31.7,36.4,0.0,5.2,Cloudy
2023-01-04,18:00,Hyderabad,26.6,21.2,58.7,0.0,21.5,Sunny
2023-01-05,06:00,Warangal,35.0,29.0,42.4,0.0,25.0,Cloudy
2023-01-05,06:00,Nizamabad,33.1,23.9,70.2,0.0,20.0,Sunny
2023-01-05,06:00,Karimnagar,32.6,20.8,30.2,0.0,13.1,Sunny
2023-01-05,06:00,Khammam,29.5,14.6,77.7,0.0,22.7,Cloudy
2023-01-05,06:00,Mahbubnagar,35.5,28.5,30.3,0.0,17.0,Cloudy
2023-01-05,06:00,Hyderabad,32.9,25.3,38.0,0.0,23.1,Sunny
2023-01-05,12:00,Warangal,36.8,26.0,74.3,0.0,18.1,Cloudy
2023-01-05,12:00,Nizamabad,37.0,23.1,72.6,15.8,6.7,Stormy
2023-01-05,12:00,Karimnagar,28.0,19.2,37.9,0.0,4.8,Cloudy
2023-01-05,12:00,Khammam,28.5,18.3,55.3,0.0,19.8,Sunny
2023-01-05,12:00,Mahbubnagar,43.8,38.1,35.4,0.0,13.7,Cloudy
2023-01-05,12:00,Hyderabad,29.4,22.7,65.5,0.0,9.5,Sunny
2023-01-05,18:00,Warangal,43.6,29.5,58.0,0.0,5.4,Cloudy
2023-01-05,18:00,Nizamabad,30.6,15.9,79.6,0.0,23.0,Cloudy
2023-01-05,18:00,Karimnagar,44.7,33.6,41.1,0.0,12.0,Cloudy
2023-01-05,18:00,Khammam,25.8,18.6,36.1,0.0,4.2,Sunny
2023-01-05,18:00,Mahbubnagar,40.6,26.4,60.0,0.0,1.1,Sunny
2023-01-05,18:00,Hyderabad,31.0,25.5,67.7,0.0,22.8,Sunny
2023-01-06,06:00,Warangal,39.2,34.0,70.5,12.4,21.6,Stormy
2023-01-06,06:00,Nizamabad,25.4,19.2,50.3,0.0,12.6,Sunny
2023-01-06,06:00,Karimnagar,32.2,24.4,38.8,0.0,12.6,Sunny
2023-01-06,06:00,Khammam,41.5,36.0,83.0,0.0,18.8,Cloudy
2023-01-06,06:00,Mahbubnagar,30.2,22.3,73.5,0.0,4.5,Sunny
2023-01-06,06:00,Hyderabad,30.9,17.2,35.2,0.0,26.4,Sunny
2023-01-06,12:00,Warangal,25.6,20.6,85.3,0.0,10.3,Sunny
2023-01-06,12:00,Nizamabad,33.9,24.8,39.5,0.0,0.2,Sunny
2023-01-06,12:00,Karimnagar,29.6,17.6,46.6,10.7,3.9,Stormy
2023-01-06,12:00,Khammam,35.8,22.0,38.2,6.6,5.1,Stormy
2023-01-06,12:00,Mahbubnagar,30.8,21.4,38.2,0.0,20.1,Sunny
2023-01-06,12:00,Hyderabad,42.1,28.6,44.8,0.0,11.4,Cloudy
2023-01-06,18:00,Warangal,36.5,22.4,78.4,0.0,21.0,Sunny
2023-01-06,18:00,Nizamabad,43.2,30.5,61.6,0.0,27.7,Sunny
2023-01-06,18:00,Karimnagar,26.8,13.0,36.6,22.4,9.1,Stormy
2023-01-06,18:00,Khammam,34.1,23.8,82.8,0.0,22.1,Sunny
2023-01-06,18:00,Mahbubnagar,43.1,37.3,56.5,0.0,0.3,Cloudy
2023-01-06,18:00,Hyderabad,28.3,18.0,83.4,0.0,5.6,Sunny
2023-01-07,06:00,Warangal,37.4,26.5,48.4,9.9,11.3,Stormy
2023-01-07,06:00,Nizamabad,44.6,39.2,74.8,0.0,0.8,Sunny
2023-01-07,06:00,Karimnagar,44.6,37.1,53.8,7.3,24.7,Stormy
2023-01-07,06:00,Khammam,43.0,35.2,38.3,0.0,7.9,Sunny
2023-01-07,06:00,Mahbubnagar,30.6,19.5,81.5,0.0,10.6,Cloudy
2023-01-07,06:00,Hyderabad,44.0,36.7,58.8,0.0,1.6,Sunny
2023-01-07,12:00,Warangal,25.3,17.8,85.4,0.0,17.7,Sunny
2023-01-07,12:00,Nizamabad,33.6,23.0,79.9,0.0,6.3,Cloudy
2023-01-07,12:00,Karimnagar,38.8,33.1,70.1,0.0,8.7,Cloudy
2023-01-07,12:00,Khammam,34.2,22.9,49.5,0.0,12.6,Sunny
2023-01-07,12:00,Mahbubnagar,37.0,23.2,87.9,0.0,27.3,Sunny
2023-01-07,12:00,Hyderabad,25.6,16.9,81.8,0.0,25.0,Cloudy
2023-01-07,18:00,Warangal,38.2,28.5,58.1,0.0,2.6,Sunny
2023-01-07,18:00,Nizamabad,34.3,27.9,79.6,0.0,6.4,Cloudy
2023-01-07,18:00,Karimnagar,32.6,27.6,49.5,0.0,13.1,Sunny
2023-01-07,18:00,Khammam,34.8,26.8,78.5,12.0,10.8,Stormy
2023-01-07,18:00,Mahbubnagar,28.8,20.2,77.1,0.0,10.8,Sunny
2023-01-07,18:00,Hyderabad,43.3,31.6,87.6,0.0,22.7,Sunny
2023-01-08,06:00,Warangal,35.4,21.2,69.0,14.1,23.1,Stormy
2023-01-08,06:00,Nizamabad,40.7,32.0,86.2,0.0,2.1,Sunny
2023-01-08,06:00,Karimnagar,25.9,18.8,37.8,0.0,21.1,Sunny
2023-01-08,06:00,Khammam,28.7,22.0,51.5,0.0,25.0,Sunny
2023-01-08,06:00,Mahbubnagar,41.8,29.2,88.1,0.0,13.8,Sunny
2023-01-08,06:00,Hyderabad,42.4,28.9,48.1,0.0,16.4,Sunny
2023-01-08,12:00,Warangal,31.9,25.6,69.1,0.0,18.8,Sunny
2023-01-08,12:00,Nizamabad,32.6,19.7,39.1,0.0,22.5,Sunny
2023-01-08,12:00,Karimnagar,43.6,38.4,55.2,0.0,9.9,Cloudy
2023-01-08,12:00,Khammam,36.0,24.2,73.9,0.6,20.9,Rainy
2023-01-08,12:00,Mahbubnagar,40.4,30.2,70.4,0.0,10.3,Cloudy
2023-01-08,12:00,Hyderabad,27.1,17.4,50.2,0.0,13.9,Sunny
2023-01-08,18:00,Warangal,31.8,19.0,90.0,0.0,22.1,Sunny
2023-01-08,18:00,Nizamabad,36.0,28.1,72.4,0.0,9.5,Cloudy
2023-01-08,18:00,Karimnagar,35.6,25.3,63.7,0.0,16.0,Cloudy
2023-01-08,18:00,Khammam,30.1,15.3,63.9,0.0,17.8,Cloudy
2023-01-08,18:00,Mahbubnagar,25.6,15.1,72.1,0.0,21.7,Cloudy
2023-01-08,18:00,Hyderabad,36.2,24.5,86.1,23.3,8.0,Stormy
2023-01-09,06:00,Warangal,33.2,22.1,44.2,0.0,11.9,Sunny
2023-01-09,06:00,Nizamabad,40.8,30.6,68.5,1.3,10.1,Rainy
2023-01-09,06:00,Karimnagar,26.2,11.4,61.8,0.0,6.5,Sunny
2023-01-09,06:00,Khammam,37.1,29.2,66.3,8.1,8.2,Stormy
2023-01-09,06:00,Mahbubnagar,33.6,27.4,38.9,0.0,0.9,Sunny
2023-01-09,06:00,Hyderabad,41.1,35.6,34.9,5.0,9.3,Rainy
2023-01-09,12:00,Warangal,39.2,33.9,79.5,0.0,25.5,Cloudy
